date, pm25, pm10, o3, no2, co
2018/7/14, 19, 22, 42, 21, 66
2018/7/15, 16, 15, 39, 21, 92
2018/7/16, 11, 16, 34, 21, 105
2018/7/17, 9, 19, 40, 21, 32
2018/7/18, 14, 20, 46, 32, 31
2018/7/19, 15, 22, 46, 27, 48
2018/7/20, 16, 19, 45, 22, 53
2018/7/21, 14, 16, 36, 24, 29
2018/7/22, 12, 16, 36, 24, 29
2018/7/23, 12, 28, 41, 23, 37
2018/7/24, 21, 31, 41, 23, 39
2018/7/25, 23, 34, 42, 24, 44
2018/7/26, 26, 29, 43, 25, 52
2018/7/27, 23, 26, 44, 30, 53
2018/7/28, 20, 32, 45, 24, 50
2018/7/29, 24, 37, 46, 22, 71
2018/7/30, 28, 40, 42, 22, 76
2018/7/31, 30, 48, 44, 22, 48
2018/8/1, 36, 52, 45, 23, 45
2018/8/2, 39, 39, 42, 23, 52
2018/8/3, 29, 26, 40, 23, 76
2018/8/4, 20, 25, 41, 23, 64
2018/8/5, 18, 32, 42, 24, 43
2018/8/6, 24, 30, 42, 25, 49
2018/8/7, 23, 26, 43, 24, 55
2018/8/8, 20, 26, 44, 24, 63
2018/8/9, 19, 25, 44, 24, 68
2018/8/10, 18, 24, 43, 24, 80
2018/8/11, 18, 28, 43, 24, 66
2018/8/12, 21, 24, 43, 24, 66
2018/8/13, 18, 28, 40, 33, 78
2018/8/14, 21, 37, 40, 33, 78
2018/8/15, 28, 20, 42, 27, 44
2018/8/16, 15, 39, 54, 32, 52
2018/8/17, 33, 35, 44, 75, 56
2018/8/18, 26, 16, 43, 58, 50
2018/8/19, 12, 17, 42, 22, 49
2018/8/20, 15, 19, 36, 22, 56
2018/8/21, 16, 28, 36, 22, 87
2018/8/22, 18, 27, 36, 22, 85
2018/8/23, 19, 33, 37, 25, 58
2018/8/24, 31, 25, 33, 28, 84
2018/8/25, 28, 18, 33, 28, 80
2018/8/26, 22, 23, 36, 27, 51
2018/8/27, 27, 24, 35, 28, 50
2018/8/28, 28, 29, 32, 27, 61
