date, pm25, pm10, o3, no2, so2, co
2019/3/24, 173, 180, 31, 66, 10, 7
2019/3/25, 187, 133, 24, 29, 4, 3
2019/3/26, 176, 105, 28, 37, 8, 4
2019/3/27, 163, 101, 19, 27, 3, 3
2019/3/28, 162, 91, 16, 22, 2, 2
2019/3/29, 157, 91, 20, 20, 3, 3
2019/3/30, 153, 82, 12, 16, , 3
2019/3/31, 150, 57, 17, 10, 1, 2
2018/12/1, 205, 228, 39, 20, 6, 3
2018/12/2, 246, 268, 37, 23, 11, 5
2018/12/3, 266, 290, 49, 25, 8, 7
2018/12/4, 282, 501, 3, 24, 11, 4
2018/12/5, 352, 433, 1, 98, 8, 12
2018/12/6, 349, 347, 28, 67, 9, 5
2018/12/7, 340, 299, 50, 60, 6, 3
2018/12/8, 322, 410, 8, 80, 8, 3
2018/12/9, 322, 343, 41, 54, 3, 2
2018/12/10, 294, 301, 17, 29, 4, 2
2018/12/11, 319, , , , , 
2018/12/15, 220, 146, 30, 31, 6, 1
2018/12/16, 201, 136, 19, 25, 4, 1
2018/12/17, 203, 83, 19, 36, 2, 2
2018/12/18, 165, 95, 21, 38, 4, 2
2018/12/19, 170, 155, 31, 38, 4, 2
2018/12/20, 211, 296, 45, 38, 6, 2
2018/12/21, 299, 268, 42, 46, 8, 2
2018/12/22, 309, 231, 39, 46, 9, 2
2018/12/23, 299, 207, 35, 43, 8, 2
2018/12/24, 274, 255, 50, 45, 8, 2
2018/12/25, 290, 234, 45, 46, 7, 2
2018/12/26, 270, 360, 37, 66, 9, 2
2018/12/27, 323, 268, 33, 57, 8, 2
2018/12/28, 299, 269, 43, 56, 9, 2
2018/12/29, 315, 191, 40, 46, 9, 2
2018/12/30, 263, , , , , 
2020/2/10, , 141, 21, 14, 16, 1
2020/2/12, , 196, 19, 51, 12, 10
2020/1/1, , 189, 22, 36, 11, 12
2019/10/21, , 92, 38, 13, 7, 4
2019/12/4, , 143, 43, 19, 13, 3
2019/12/28, , 141, 30, 37, 12, 7
2019/8/19, , 82, 24, 26, 2, 3
2019/9/11, , 50, 7, 11, 2, 2
2019/9/12, , 55, 10, 9, 2, 2
2019/9/13, , 63, 18, 11, 2, 2
2019/5/13, , 78, 16, 11, 1, 2
2018/12/31, , 235, 36, 49, 8, 2
2018/11/30, , 137, 34, 31, 8, 3
2018/12/14, , 159, 36, 35, 8, 1
2017/10/6, , 40, 4, 15, 8, 4
2017/10/7, , 44, 5, 10, 7, 3
2017/10/8, , 33, 3, 10, 7, 3
2017/10/9, , 22, 6, 12, 8, 4
2017/10/10, , 38, 10, 15, 7, 4
2017/10/11, , 46, 8, 20, 7, 4
2017/10/12, , 60, 6, 17, 7, 3
2017/10/13, , 58, 7, 16, 6, 4
2017/10/14, , 55, 19, 19, 6, 5
2017/10/15, , 83, 18, 18, 6, 6
