date, pm25, pm10, o3, no2, so2, co
2019/5/21, 177, 160, 41, 27, 12, 12
2019/5/22, 161, 200, 62, 26, 16, 12
2019/5/23, 198, 83, 31, 18, 6, 9
2019/5/24, 120, 79, 49, 11, 7, 3
2019/5/25, 123, 90, 60, 16, 11, 7
2019/5/26, 136, 105, 63, 21, 11, 12
2019/5/27, 142, 115, 66, 26, 10, 20
2019/5/28, 140, 150, 71, 27, 16, 20
2019/5/29, 168, 187, 50, 31, 16, 24
2019/5/30, 181, 243, 73, 20, 11, 28
2019/5/31, 168, 196, 46, 16, 5, 23
2019/6/1, 180, 139, 30, 8, 3, 17
2019/6/2, 163, 199, 24, 9, 3, 17
2019/6/3, 152, 108, 37, 9, 3, 15
2019/6/4, 142, 126, 39, 15, 4, 18
2019/6/5, 162, 168, 35, 13, 3, 21
2019/6/6, 152, 92, 42, 9, 3, 15
2019/6/7, 138, 120, 40, 14, 2, 20
2019/6/8, 144, 200, 44, 18, 5, 26
2019/6/9, 181, 163, 30, 19, 3, 23
2019/6/10, 152, 460, 14, 14, 3, 18
2019/6/11, 173, 185, 29, 6, 3, 4
2019/6/12, 138, 113, 22, 8, 3, 5
2019/6/13, 130, 119, 33, 8, 4, 7
2019/6/14, 137, 165, 28, 9, 3, 11
2019/6/15, 168, 107, 17, 1, 2, 11
2019/6/16, 116, 87, 17, 3, 3, 12
2019/6/17, 111, 173, 20, 4, 2, 12
2019/6/18, 131, 141, 52, 7, 5, 15
2019/6/19, 165, 238, 45, 5, 2, 14
2019/6/20, 110, 113, 32, 13, 4, 15
2019/6/21, 159, 113, 35, 7, 5, 15
2019/6/22, 156, 88, 33, 5, 3, 13
2019/6/23, 123, 66, 16, 4, 3, 9
2019/6/24, 81, 86, 31, 6, 3, 7
2019/6/25, 136, 104, 22, 5, 3, 8
2019/6/26, 156, 160, 22, 5, 4, 7
2019/6/27, 150, 151, 16, 6, 4, 9
2019/6/28, 141, 197, 16, 6, 3, 6
2019/6/29, 145, 192, 10, 5, 4, 9
2019/6/30, 146, 119, 24, 1, 3, 7
2019/1/1, 395, 597, 24, 46, 14, 32
2019/1/2, 447, 511, 26, 24, 10, 20
2019/1/3, 451, 296, 16, 16, 10, 7
2019/1/4, 318, 368, 21, 31, 11, 30
2019/1/5, 347, 193, 44, 17, 10, 32
2019/1/6, 255, 203, 9, 16, 9, 
2019/1/7, 268, 152, 1, 27, 15, 
2019/1/8, 233, 160, 31, 21, 14, 
2019/1/9, 244, 271, 34, 28, 13, 
2019/1/10, 253, 488, 31, 42, 11, 
2019/1/11, 371, 488, 38, 54, 8, 
2019/1/12, 398, 334, 40, 28, 10, 
2019/1/13, 344, 109, 33, 15, 10, 
2019/1/14, 184, 174, 26, 22, 13, 
2019/1/15, 222, 503, 20, 51, 14, 
2019/1/16, 402, 511, 40, 37, 11, 
2019/1/17, 429, 354, 28, 29, 8, 
2019/1/18, 360, 423, 35, 38, 12, 
2019/1/19, 354, 642, 81, 65, 10, 
2019/1/20, 425, 279, 68, 39, 10, 
2019/1/21, 281, 59, 28, 19, 3, 
2019/1/22, 136, 162, 17, 22, 6, 
2019/1/23, 229, 153, 24, 18, 7, 
2019/1/24, 209, 93, 30, 14, 9, 
2019/1/25, 170, 117, 37, 14, 8, 
2019/1/26, 195, 139, 32, 16, 14, 
2019/1/27, 233, 130, 36, 16, 12, 
2019/1/28, 216, 173, 34, 20, 12, 
2019/1/29, 241, 279, 33, 30, 16, 38
2019/1/30, 307, 300, 53, 37, 13, 10
2019/1/31, 294, 170, 27, 26, 10, 31
2019/2/1, 263, 158, 24, 12, 6, 18
2019/2/2, 241, 144, 25, 14, 6, 21
2019/2/3, 207, 206, 35, 26, 9, 24
2019/2/4, 234, 409, 73, 49, 15, 44
2019/2/5, 351, 188, 39, 35, 10, 27
2019/2/6, 249, 76, 19, 18, 6, 17
2019/2/7, 151, 100, 33, 15, 7, 16
2019/2/8, 157, 108, 35, 11, 9, 16
2019/2/9, 174, 233, 41, 17, 14, 22
2019/2/10, 254, 281, 49, 21, 13, 26
2019/2/11, 278, 296, 70, 24, 14, 27
2019/2/12, 289, 261, 62, 38, 12, 30
2019/2/13, 268, 168, 23, 27, 9, 24
2019/2/14, 229, 125, 27, 16, 10, 14
2019/2/15, 204, 105, 23, 10, 6, 6
